506390.00000000	-0.29408521	-0.05900351	-0.60651352
505990.00000000	-0.29498083	-0.05915979	-0.60605283
505590.00000000	-0.30092535	-0.06023764	-0.60234622
505190.00000000	-0.30712390	-0.06133682	-0.59844012
504790.00000000	-0.31347110	-0.06244412	-0.59450137
504390.00000000	-0.31946207	-0.06346011	-0.59051086
503990.00000000	-0.32537704	-0.06447375	-0.58654776
503590.00000000	-0.33157910	-0.06553842	-0.58233096
503190.00000000	-0.33760806	-0.06655490	-0.57808737
502790.00000000	-0.34314389	-0.06744260	-0.57417410
502390.00000000	-0.34927423	-0.06842804	-0.56975275
501990.00000000	-0.35532224	-0.06938101	-0.56537714
501590.00000000	-0.36114868	-0.07029755	-0.56097296
501190.00000000	-0.36678360	-0.07112424	-0.55661111
500790.00000000	-0.37265359	-0.07201190	-0.55211752
500390.00000000	-0.37858713	-0.07293716	-0.54738354
499990.00000000	-0.38437973	-0.07381683	-0.54270383
499590.00000000	-0.39007730	-0.07463297	-0.53810172
499190.00000000	-0.39587955	-0.07547559	-0.53319635
498790.00000000	-0.40161865	-0.07622763	-0.52828638
498390.00000000	-0.40737308	-0.07705835	-0.52323679
497990.00000000	-0.41286981	-0.07782611	-0.51834686
497590.00000000	-0.41820999	-0.07855997	-0.51356613
497190.00000000	-0.42373062	-0.07928210	-0.50849240
496790.00000000	-0.42908411	-0.07995248	-0.50349268
496390.00000000	-0.43422562	-0.08057486	-0.49860919
495990.00000000	-0.43940115	-0.08124072	-0.49370892
495590.00000000	-0.44446719	-0.08184833	-0.48860687
495190.00000000	-0.44953265	-0.08245450	-0.48353644
494790.00000000	-0.45440692	-0.08306467	-0.47860406
494390.00000000	-0.45932922	-0.08362881	-0.47349243
493990.00000000	-0.46436383	-0.08421127	-0.46815906
493590.00000000	-0.46923880	-0.08478128	-0.46295947
493190.00000000	-0.47388214	-0.08528360	-0.45791299
492790.00000000	-0.47856036	-0.08581677	-0.45273004
492390.00000000	-0.48329910	-0.08634003	-0.44734213
491990.00000000	-0.48763101	-0.08683301	-0.44235104
491590.00000000	-0.49207404	-0.08732977	-0.43720795
491190.00000000	-0.49644125	-0.08779504	-0.43206769
490790.00000000	-0.50094888	-0.08828876	-0.42665805
490390.00000000	-0.50511996	-0.08877173	-0.42145297
489990.00000000	-0.50944312	-0.08918527	-0.41612827
489590.00000000	-0.51363046	-0.08961615	-0.41073773
489190.00000000	-0.51785580	-0.09007581	-0.40528076
488790.00000000	-0.52185446	-0.09052859	-0.39993765
488390.00000000	-0.52606952	-0.09095154	-0.39439172
487990.00000000	-0.53003745	-0.09136880	-0.38892700
487590.00000000	-0.53404434	-0.09177646	-0.38331851
487190.00000000	-0.53802768	-0.09215262	-0.37758499
486790.00000000	-0.54193158	-0.09253925	-0.37200089
486390.00000000	-0.54572437	-0.09291510	-0.36639984
485990.00000000	-0.54948920	-0.09329208	-0.36073154
485590.00000000	-0.55328290	-0.09368045	-0.35490921
485190.00000000	-0.55686447	-0.09404712	-0.34920844
484790.00000000	-0.56044147	-0.09438498	-0.34362897
484390.00000000	-0.56409406	-0.09476932	-0.33763055
483990.00000000	-0.56759497	-0.09510815	-0.33188120
483590.00000000	-0.57091486	-0.09544705	-0.32632272
483190.00000000	-0.57419342	-0.09579376	-0.32059067
482790.00000000	-0.57758536	-0.09615668	-0.31477408
482390.00000000	-0.58088339	-0.09649182	-0.30893146
481990.00000000	-0.58407422	-0.09681845	-0.30302902
481590.00000000	-0.58713742	-0.09712155	-0.29729910
481190.00000000	-0.59029431	-0.09747781	-0.29127841
480790.00000000	-0.59324728	-0.09779007	-0.28551315
480390.00000000	-0.59614218	-0.09809631	-0.27982755
479990.00000000	-0.59893179	-0.09839709	-0.27405191
479590.00000000	-0.60164435	-0.09903979	-0.26809286
479190.00000000	-0.60476669	-0.09936264	-0.26181137
478790.00000000	-0.60731619	-0.09919843	-0.25629492
478390.00000000	-0.61053885	-0.09958994	-0.25013583
477990.00000000	-0.61277365	-0.10002701	-0.24462833
477590.00000000	-0.61521518	-0.10030527	-0.23894312
477190.00000000	-0.61773419	-0.10082626	-0.23291519
476790.00000000	-0.62040155	-0.10086874	-0.22686484
476390.00000000	-0.62319763	-0.10051120	-0.22076181
475990.00000000	-0.62584888	-0.10036151	-0.21465829
475590.00000000	-0.62740747	-0.10206915	-0.20843149
475190.00000000	-0.62953082	-0.10235229	-0.20274109
474790.00000000	-0.63179416	-0.10258920	-0.19668262
474390.00000000	-0.63392694	-0.10296078	-0.19053256
473990.00000000	-0.63604080	-0.10325940	-0.18436029
473590.00000000	-0.63811108	-0.10358755	-0.17822119
473190.00000000	-0.64023599	-0.10391714	-0.17172632
472790.00000000	-0.64220187	-0.10426346	-0.16540463
472390.00000000	-0.64415042	-0.10458707	-0.15904617
471990.00000000	-0.64600317	-0.10493091	-0.15294519
471590.00000000	-0.64785559	-0.10528293	-0.14647711
471190.00000000	-0.64960577	-0.10560327	-0.14013315
470790.00000000	-0.65121753	-0.10589569	-0.13417819
470390.00000000	-0.65286630	-0.10620346	-0.12770667
469990.00000000	-0.65449173	-0.10654596	-0.12131433
469590.00000000	-0.65601465	-0.10691754	-0.11484500
469190.00000000	-0.65750293	-0.10723221	-0.10842377
468790.00000000	-0.65890228	-0.10751089	-0.10206512
468390.00000000	-0.66037286	-0.10784543	-0.09547226
467990.00000000	-0.66173218	-0.10814011	-0.08883243
467590.00000000	-0.66299597	-0.10845120	-0.08258466
467190.00000000	-0.66421936	-0.10872263	-0.07603281
466790.00000000	-0.66533685	-0.10901550	-0.06971704
